State   County  Year    UFOSightingCount   Population_Density   Housing_Density
Illinois  douglas  2001  1  48.0  20.1
New Jersey  hudson  2008  2  13731.4  5852.5
Arizona  yuma  1999  3  29.0  13.4
Oregon  multnomah  2007  5  1704.9  753.2
Florida  duval  2010  3  1133.9  509.7
Pennsylvania  cambria  2005  3  208.7  95.4
Missouri  greene  1997  2  356.1  154.8
Ohio  delaware  2006  8  393.2  149.8
Maryland  montgomery  2000  6  1762.5  675.3
Florida  charlotte  2008  3  235.2  147.9
Washington  yakima  2009  10  56.6  19.9
Ohio  columbiana  2005  2  202.7  88.5
Texas  upshur  2004  1  67.4  28.5
Illinois  winnebago  2009  1  575.2  245.4
New York  lewis  2001  1  21.3  11.9
Ohio  greene  2007  3  390.5  164.9
Florida  franklin  2009  1  21.6  16.2
Tennessee  coffee  1999  1  112.0  48.4
New York  rockland  1999  1  1645.9  545.1
California  sonoma  2008  12  307.1  129.8
Kentucky  jefferson  2003  1  1948.1  887.5
Georgia  richmond  2010  1  618.4  266.2
Pennsylvania  fayette  2002  1  172.8  79.4
Oklahoma  le flore  2005  1  31.7  13.5
Oklahoma  okmulgee  2001  1  57.5  25.7
Ohio  pickaway  2002  1  111.1  42.4
Missouri  phelps  2007  5  67.2  29.1
Florida  highlands  2007  3  97.2  54.5
Virginia  patrick  2009  2  38.3  20.9
Pennsylvania  westmoreland  2000  1  360.8  157.1
Florida  nassau  2005  1  113.0  54.0
Washington  king  2002  30  912.9  402.4
Ohio  ashtabula  1996  1  146.2  62.3
New York  ontario  1995  2  155.5  66.2
Michigan  macomb  2001  5  1754.9  744.2
Illinois  grundy  1992  1  89.4  35.8
New York  greene  2010  2  76.1  45.1
New York  suffolk  2010  11  1637.4  624.9
New Jersey  camden  2008  4  2321.5  926.2
Texas  webb  2008  1  74.5  21.9
New Mexico  otero  1993  1  9.4  4.4
Virginia  york  2005  1  2838.1  1285.9
Texas  val verde  2003  1  15.5  5.9
Pennsylvania  centre  2004  5  138.7  57.0
Iowa  johnson  2008  4  213.1  91.1
Kansas  pratt  2004  3  13.1  6.1
Kansas  clay  2002  1  13.2  6.3
California  yolo  2005  4  197.9  74.0
Wisconsin  jefferson  2008  1  150.4  63.2
Nebraska  sarpy  1998  1  509.7  187.0
Colorado  montrose  2010  2  18.4  8.1
Minnesota  anoka  1997  5  703.7  255.2
Pennsylvania  schuylkill  2002  1  190.4  89.0
Georgia  screven  2006  1  22.6  10.4
Montana  blaine  1998  1  1.7  0.7
Illinois  sangamon  2006  1  227.4  103.5
Ohio  stark  2002  2  652.9  287.2
Washington  okanogan  2000  3  7.5  3.6
Kentucky  jessamine  1999  4  225.5  84.6
California  san joaquin  2003  5  492.6  168.0
Indiana  jackson  2003  1  83.2  35.7
Missouri  benton  2007  1  27.1  20.1
Wisconsin  kenosha  2002  2  611.9  254.7
Idaho  idaho  2003  3  1.9  1.0
Pennsylvania  columbia  2008  3  139.3  61.1
Pennsylvania  delaware  2000  4  2990.4  1177.9
New Mexico  bernalillo  1998  1  477.4  205.0
South Dakota  dewey  2002  1  2.3  0.9
Montana  lewis and clark  2005  2  18.3  8.7
Kentucky  knox  2003  1  82.5  37.5
Ohio  medina  1996  1  358.4  134.7
North Carolina  macon  2007  1  65.8  49.0
Massachusetts  norfolk  2007  5  1693.6  682.5
Oklahoma  rogers  2006  4  128.6  52.0
Pennsylvania  cumberland  2002  1  431.6  183.3
Wisconsin  manitowoc  2005  1  138.3  63.1
Maine  kennebec  2002  3  140.8  70.3
Kansas  reno  2007  1  51.4  22.5
Arkansas  pulaski  2006  5  503.8  231.1
Minnesota  isanti  2007  1  86.8  35.2
Missouri  buchanan  2000  1  209.9  89.3
Indiana  marion  2005  1  2279.6  1054.4
South Carolina  anderson  2007  1  261.6  118.5
Oklahoma  wagoner  2004  1  130.1  52.9
Washington  lewis  1997  1  28.5  12.3
Michigan  tuscola  2007  2  69.4  30.4
New York  new york  1991  2  66940.1  34756.7
Wisconsin  milwaukee  2004  4  3926.0  1731.8
Kentucky  calloway  2009  1  96.6  46.9
South Carolina  kershaw  1996  1  72.5  31.2
Pennsylvania  allegheny  1993  2  1755.3  799.3
New Jersey  passaic  1996  1  2639.3  917.7
Pennsylvania  blair  1999  1  245.6  104.7
Pennsylvania  mckean  2004  3  44.4  21.7
Texas  montgomery  2007  1  437.5  170.5
North Carolina  beaufort  2004  1  57.7  29.8
North Carolina  cherokee  1998  1  53.4  29.7
Maryland  calvert  2002  1  416.3  158.5
Wisconsin  ozaukee  2000  1  354.9  138.1
Arkansas  boone  2000  2  57.4  26.1
Illinois  monroe  1997  1  71.1  27.7
Indiana  steuben  1993  1  107.6  56.2
Texas  coke  2001  1  3.6  2.9
Pennsylvania  bucks  2010  4  1034.7  407.0
California  humboldt  2009  5  37.7  17.3
Georgia  bartow  2002  1  217.9  86.7
Arkansas  baxter  2008  1  74.9  40.7
North Dakota  burleigh  2008  2  49.8  21.9
New York  cattaraugus  2006  1  61.4  31.4
Virginia  alleghany  2006  1  36.5  18.1
Maine  waldo  2004  2  53.1  29.5
Wisconsin  columbia  2006  2  74.2  34.1
Maryland  allegany  2009  3  177.0  78.5
Alabama  jefferson  2005  4  592.5  270.5
Alabama  baldwin  2008  3  114.6  65.5
Utah  box elder  1998  1  7.5  2.5
Oregon  umatilla  1999  2  21.9  8.6
New York  broome  1995  4  283.7  125.7
Nevada  clark  2005  26  247.3  106.5
West Virginia  kanawha  1998  2  221.5  103.9
Wisconsin  lafayette  1999  1  25.5  10.5
Colorado  garfield  2001  1  19.1  7.9
Florida  martin  1996  1  1157.9  437.9
Arizona  mohave  1997  2  11.6  6.0
Florida  collier  2001  2  160.9  98.7
Texas  midland  2007  1  152.0  60.4
Colorado  pueblo  1998  2  59.2  24.7
Kansas  sedgwick  2008  4  499.6  212.1
Hawaii  maui  2001  2  133.3  60.6
Texas  harris  2003  7  2402.4  938.5
Oregon  lake  2000  1  0.9  0.5
Ohio  hancock  2000  1  134.2  56.1
Indiana  floyd  2008  1  504.1  216.1
Tennessee  franklin  2001  1  74.0  33.7
Ohio  clermont  2005  6  436.5  178.4
Utah  tooele  2007  1  8.4  2.8
New York  columbia  2007  1  99.4  51.6
Alaska  northwest arctic  2002  1  0.2  0.1
Wisconsin  washington  2005  1  306.2  127.0
Nebraska  wayne  2002  2  21.7  8.5
North Carolina  camden  2004  1  41.5  17.1
Maine  oxford  1993  1  26.3  15.5
Virginia  stafford  2006  1  479.5  163.5
Florida  orange  2001  1  1268.5  540.0
Illinois  winnebago  2000  21  541.9  222.7
North Carolina  haywood  2007  1  106.6  63.1
Mississippi  desoto  2005  3  338.7  129.4
California  san mateo  1993  1  1574.7  580.3
Florida  sarasota  1997  1  570.3  319.2
Pennsylvania  adams  2005  1  195.5  78.7
Wyoming  sheridan  2002  1  11.5  5.5
California  sonoma  2001  14  307.1  129.8
Nebraska  dawson  1996  1  24.1  9.7
Kentucky  jefferson  2008  12  1948.1  887.5
Alabama  limestone  2006  1  147.8  62.5
West Virginia  berkeley  2010  2  324.4  139.4
Michigan  calhoun  2006  1  192.8  86.4
Illinois  jefferson  2010  1  68.0  29.7
Michigan  ingham  2010  1  505.1  218.1
Mississippi  forrest  1999  2  155.6  64.1
Georgia  coweta  2000  1  201.6  75.0
California  santa cruz  1995  1  574.1  222.1
Michigan  macomb  2008  11  1754.9  744.2
Nebraska  greeley  2008  1  4.5  2.3
New York  suffolk  2001  10  1637.4  624.9
New Mexico  otero  2000  1  9.4  4.4
South Carolina  greenville  2000  2  480.5  206.1
Iowa  johnson  2001  1  213.1  91.1
California  mendocino  2001  1  25.1  11.5
Hawaii  hawaii  2004  2  45.9  20.4
Illinois  lake  1998  3  1439.7  504.8
Ohio  darke  1998  1  88.9  36.0
South Dakota  mccook  1996  1  10.2  4.1
Michigan  leelanau  2007  1  62.5  43.0
California  yolo  2010  2  197.9  74.0
South Carolina  oconee  2005  1  118.6  61.9
Texas  gonzales  1994  1  17.4  7.7
Minnesota  anoka  2006  6  782.1  299.5
Ohio  butler  2009  8  788.2  317.5
Pennsylvania  schuylkill  1995  1  193.1  87.1
New Jersey  hunterdon  2004  1  300.0  115.7
Florida  levy  1999  1  30.8  14.8
Washington  okanogan  2009  5  7.8  4.2
Missouri  benton  1998  1  24.4  18.0
South Dakota  lawrence  2001  1  30.1  15.9
Mississippi  itawamba  1998  1  42.8  18.4
Florida  dixie  2009  1  23.3  13.2
Georgia  forsyth  2009  1  783.5  285.9
Pennsylvania  delaware  1995  2  2990.4  1177.9
Florida  santa rosa  2006  5  149.6  64.0
Mississippi  marion  2001  1  49.9  21.8
Pennsylvania  lycoming  2003  2  94.5  42.7
North Dakota  cass  1995  2  69.8  30.5
Pennsylvania  crawford  1995  1  89.2  41.9
Oregon  malheur  2002  1  3.2  1.2
Georgia  gwinnett  2000  1  1359.9  484.6
Georgia  rockdale  2002  1  656.5  256.3
Georgia  laurens  2007  1  60.0  26.5
Maine  kennebec  1993  1  135.0  65.0
Florida  wakulla  2008  1  50.8  21.1
California  inyo  2002  2  1.8  0.9
Virginia  arlington  2003  2  7993.5  4058.0
California  el dorado  2004  5  106.0  51.6
Kentucky  union  2005  1  43.8  17.9
Oklahoma  kingfisher  2004  2  16.7  7.1
Kentucky  garrard  2008  1  73.5  32.4
Indiana  vermillion  2005  1  63.1  29.1
Washington  lewis  2010  2  31.4  14.2
Washington  grays harbor  2007  2  38.3  18.5
Kentucky  calloway  2000  1  88.5  41.6
New Jersey  passaic  1991  1  2639.3  917.7
Texas  montgomery  1998  2  281.4  108.0
North Carolina  cherokee  2005  1  60.3  38.5
Illinois  mchenry  2010  5  511.9  192.4
Iowa  madison  1994  1  25.0  10.1
Maine  somerset  1999  2  13.0  7.2
Michigan  monroe  1995  1  264.8  102.5
Arkansas  baxter  2001  1  74.9  40.7
Alabama  etowah  1995  1  193.4  85.9
Florida  broward  2010  7  1444.9  669.9
Washington  skagit  1996  2  59.3  24.6
Maine  waldo  1997  1  49.7  25.9
Iowa  linn  2009  3  294.6  128.7
Wisconsin  la crosse  2008  3  253.8  107.2
Oklahoma  canadian  2003  2  128.9  51.1
Maryland  howard  2002  2  1144.9  435.8
Oregon  clatsop  2009  2  44.7  26.0
New Mexico  sandoval  1994  3  24.2  9.4
Montana  flathead  2007  2  17.9  9.2
Texas  rusk  2000  1  51.3  21.5
Washington  klickitat  2000  1  10.2  4.6
North Dakota  ward  2007  1  30.6  13.3
West Virginia  kanawha  2007  2  214.1  102.7
North Carolina  gaston  2007  1  578.8  249.1
Florida  escambia  2003  8  453.4  208.2
Tennessee  shelby  2006  5  1215.5  521.9
Colorado  archuleta  2008  1  8.9  6.5
Missouri  gasconade  2004  2  29.4  15.8
Arkansas  cleburne  2001  1  46.9  28.6
Florida  martin  2005  2  1315.5  521.4
Michigan  genesee  1994  2  681.9  287.1
Texas  parker  1992  1  97.9  37.7
Pennsylvania  bradford  2004  1  54.6  26.1
Virginia  warren  2008  1  176.0  75.1
Alabama  colbert  2008  1  91.8  43.5
Colorado  pueblo  2009  3  66.7  29.1
Mississippi  lee  1999  1  168.5  70.9
Missouri  lafayette  1994  1  52.4  21.8
Tennessee  hardin  2007  1  45.1  24.2
Hawaii  honolulu  1998  1  1460.8  526.9
Idaho  bonneville  2007  1  55.9  21.3
Virginia  nottoway  2007  1  50.4  21.2
Florida  bradford  2008  3  97.0  37.5
Mississippi  rankin  1999  3  148.9  58.2
Missouri  stoddard  2010  1  36.4  16.5
Florida  indian river  2002  1  274.5  151.8
Oregon  deschutes  2008  2  52.3  26.6
Minnesota  winona  1999  1  79.8  31.2
Vermont  lamoille  1999  1  50.4  23.9
Florida  orange  2008  4  1268.5  540.0
New York  queens  2004  5  20553.6  7694.7
Oregon  wasco  2003  1  10.6  4.8
Ohio  hamilton  2008  3  1976.7  929.7
Alaska  bethel  2002  1  0.4  0.1
Nevada  lincoln  2003  2  0.5  0.3
California  shasta  1993  1  43.1  18.2
Michigan  kent  1993  1  670.8  261.6
Iowa  jones  1999  1  35.1  14.1
New Mexico  chaves  1998  2  10.1  4.2
California  sacramento  2009  18  1470.8  576.3
New York  albany  2000  1  562.7  248.3
Idaho  ada  1999  6  285.2  112.3
Connecticut  new london  2010  5  412.2  182.0
Washington  whatcom  1996  2  78.7  34.9
California  madera  1999  1  57.6  18.9
North Dakota  mckenzie  1999  2  2.1  1.0
Missouri  laclede  1999  1  42.5  18.7
Ohio  highland  2009  1  78.8  35.0
Washington  clark  2001  14  676.2  266.2
Virginia  fairfax  2002  10  2766.8  1043.6
Tennessee  greene  2009  5  110.6  51.5
Colorado  boulder  2010  2  405.6  175.0
Kansas  neosho  2006  1  28.9  13.1
Illinois  grundy  2010  1  119.8  47.8
New York  suffolk  1992  2  1556.0  572.6
North Carolina  ashe  2008  1  64.0  40.7
California  butte  1999  6  123.9  52.2
New York  warren  2007  1  75.8  44.7
Oregon  coos  2003  2  39.5  19.2
Virginia  essex  1998  1  38.8  19.1
Tennessee  sevier  1995  2  120.2  62.9
California  mendocino  2008  4  25.1  11.5
Pennsylvania  lackawanna  2004  1  467.1  210.9
Washington  grant  2002  2  33.3  13.1
Illinois  lake  2007  15  1585.6  586.7
Ohio  miami  2009  4  252.1  108.8
Texas  reeves  2003  1  5.2  1.8
Ohio  summit  2004  5  1312.6  593.8
Connecticut  windham  2000  2  212.8  85.7
Texas  hunt  2006  1  102.5  43.7
Minnesota  washington  2009  3  619.7  240.4
Tennessee  montgomery  2010  2  319.6  130.0
Indiana  madison  2007  2  291.3  130.7
Virginia  prince william  1998  1  831.3  290.3
Georgia  hall  2005  2  457.5  175.2
New Jersey  gloucester  2006  1  895.3  341.0
West Virginia  hancock  2008  1  371.3  176.0
Oklahoma  pittsburg  1999  1  33.7  16.5
Florida  seminole  2005  4  1367.0  586.3
Vermont  washington  2006  1  86.6  43.6
Missouri  platte  2002  1  212.6  93.3
Mississippi  webster  2006  1  24.4  11.4
Texas  galveston  2007  1  769.9  350.2
Pennsylvania  venango  2002  1  81.5  40.7
Michigan  midland  2008  1  162.0  69.7
Pennsylvania  lebanon  2004  1  369.1  153.6
Illinois  madison  2003  1  376.3  163.7
South Carolina  darlington  2007  2  122.4  54.0
Tennessee  sullivan  2002  2  379.4  178.4
Oklahoma  cleveland  2008  3  474.7  194.6
Iowa  washington  1999  1  36.3  15.0
Texas  bowie  2005  1  104.6  43.5
Tennessee  smith  1993  1  56.3  24.4
Arkansas  monroe  1999  1  16.9  8.4
Texas  cameron  2009  2  456.0  159.3
Pennsylvania  lancaster  2005  4  550.4  215.0
New Hampshire  strafford  2010  1  333.7  140.1
Iowa  harrison  1999  1  22.5  9.5
Illinois  mchenry  2003  3  511.9  192.4
Mississippi  oktibbeha  2000  1  93.7  37.9
New York  otsego  2005  1  62.2  30.7
Iowa  madison  2001  1  27.9  11.7
Texas  mclennan  2006  5  226.5  91.7
Texas  williamson  2004  7  378.0  145.6
Texas  collin  1997  2  580.1  229.9
Alabama  etowah  2004  1  195.2  88.7
Florida  broward  1997  2  1346.5  614.8
Colorado  jefferson  1998  4  682.6  275.2
Montana  yellowstone  1995  1  49.1  20.7
Iowa  linn  2002  7  294.6  128.7
Wisconsin  la crosse  2007  1  253.8  107.2
Oklahoma  canadian  2008  2  128.9  51.1
Tennessee  sumner  2010  4  303.4  124.6
North Carolina  davidson  2004  1  294.7  131.5
North Carolina  montgomery  2003  1  56.5  32.4
Virginia  loudoun  2003  1  605.8  212.3
Indiana  hendricks  2004  2  357.4  136.3
Washington  snohomish  2007  25  341.8  137.3
Florida  flagler  2010  1  197.1  100.1
Tennessee  hawkins  1999  1  110.1  50.2
Florida  monroe  2000  1  79.8  51.8
Wisconsin  wood  2004  2  94.2  43.0
Montana  ravalli  1994  1  15.1  6.7
Florida  escambia  2010  1  453.4  208.2
Illinois  boone  2009  2  193.0  71.1
Wisconsin  outagamie  2001  1  277.2  114.7
Texas  colorado  1998  1  21.2  9.8
Pennsylvania  somerset  2008  1  72.4  35.5
Arkansas  cleburne  2008  1  46.9  28.6
California  lake  2002  1  51.5  28.2
Indiana  elkhart  2010  1  426.5  167.9
Texas  fannin  1997  1  35.0  14.5
Florida  martin  2010  1  1315.5  521.4
Connecticut  middlesex  1997  1  419.9  182.2
Utah  washington  2010  1  56.9  23.8
California  sutter  2004  1  157.3  56.2
Texas  parker  2007  1  129.4  51.6
New Jersey  morris  2004  5  1069.8  412.5
Washington  thurston  1994  2  285.2  119.2
California  glenn  1999  1  20.1  7.6
Alabama  colbert  1999  1  92.5  42.0
North Carolina  halifax  1998  1  79.1  34.9
Colorado  pueblo  2000  4  59.2  24.7
Missouri  camden  2009  1  67.1  62.8
Ohio  coshocton  2003  1  65.4  29.3
Minnesota  crow wing  2003  2  62.6  40.2
Iowa  polk  2005  4  750.5  317.6
Kansas  butler  2001  1  46.1  18.2
South Carolina  lancaster  1996  1  111.8  45.5
Arizona  pima  2002  16  106.7  48.0
Washington  cowlitz  2007  2  89.8  38.1
Ohio  richland  1998  1  259.3  106.8
Mississippi  washington  2007  1  70.6  30.0
Tennessee  madison  2008  5  176.4  75.2
Virginia  page  2003  1  77.3  37.3
Maryland  cecil  2002  1  292.0  118.7
Virginia  smyth  2003  1  71.4  34.2
Ohio  franklin  2004  3  2186.1  990.6
Mississippi  harrison  2007  3  326.0  148.4
Oregon  deschutes  2007  2  52.3  26.6
Minnesota  winona  2006  1  82.2  33.2
New Hampshire  cheshire  2008  3  109.1  49.2
California  napa  2003  5  182.4  73.2
Pennsylvania  chester  2006  6  664.7  256.4
Indiana  lake  2010  2  994.1  418.4
Ohio  cuyahoga  2010  6  2800.0  1360.0
Oregon  columbia  2003  3  75.1  31.5
Texas  duval  2000  2  7.3  3.1
Pennsylvania  jefferson  2010  1  69.3  34.4
Ohio  hamilton  2003  3  1976.7  929.7
Florida  lee  2006  5  788.7  473.0
Tennessee  houston  2007  1  42.1  20.9
Nevada  humboldt  2003  2  1.7  0.7
California  san diego  2008  58  735.8  276.9
South Dakota  edmunds  2010  2  3.6  1.7
California  sacramento  2002  11  1470.8  576.3
Massachusetts  hampden  2002  4  751.0  311.4
Connecticut  new haven  2000  4  1360.6  562.6
Texas  walker  2006  1  86.5  30.7
Ohio  highland  2002  1  78.8  35.0
Oregon  clackamas  2002  6  201.0  83.9
New Mexico  taos  2006  2  15.0  9.2
Virginia  fairfax  1995  2  2454.8  909.8
Washington  clark  2010  15  676.2  266.2
Washington  king  1993  4  817.0  349.1
Tennessee  dekalb  1999  2  57.2  27.6
Vermont  bennington  2001  1  55.0  31.0
Indiana  boone  2001  1  133.9  53.8
California  plumas  1998  2  8.2  5.2
Illinois  grundy  2003  2  119.8  47.8
Pennsylvania  tioga  2009  1  37.0  18.8
Missouri  clinton  2008  1  49.5  21.2
Texas  anderson  2001  1  55.0  18.9
Virginia  new kent  2006  1  87.9  34.8
Texas  liberty  2003  2  65.3  24.8
California  yolo  1992  1  166.5  60.8
Alaska  fairbanks north star  2001  1  13.3  5.7
Montana  pondera  2006  1  3.8  1.6
Vermont  chittenden  2007  2  291.7  122.5
Ohio  miami  2000  2  242.9  99.6
Texas  fort bend  1992  3  405.3  132.6
Ohio  summit  1997  1  1315.4  559.4
Illinois  sangamon  1995  2  217.6  98.4
Washington  okanogan  1999  4  7.5  3.6
Virginia  prince william  2001  1  1195.0  407.6
Texas  hutchinson  2005  1  25.0  12.0
Wisconsin  kenosha  1999  2  548.2  219.9
Idaho  idaho  1998  1  1.8  0.9
West Virginia  preston  2007  1  51.7  23.3
Michigan  menominee  2005  2  23.0  13.6
Illinois  hardin  1998  1  26.9  14.0
New York  franklin  2007  1  31.7  15.5
Iowa  montgomery  2008  1  25.3  12.4
Texas  freestone  2000  2  20.4  9.3
Iowa  pocahontas  2002  1  12.7  6.6
North Dakota  logan  2001  2  2.0  1.2
California  san bernardino  1992  2  85.2  30.0
Michigan  isabella  2009  1  122.8  49.6
Kentucky  lyon  2008  2  38.9  22.4
Pennsylvania  berks  2006  10  480.4  192.4
Indiana  howard  2002  1  282.4  132.0
North Dakota  cass  2005  1  84.9  38.5
Wisconsin  waukesha  2000  1  649.4  252.5
Michigan  wayne  2006  6  2974.4  1342.5
Arkansas  pulaski  1997  1  468.9  209.0
Maine  knox  2008  2  108.8  65.0
California  los angeles  1996  17  2344.2  805.5
Missouri  randolph  2006  2  52.7  22.2
Illinois  hancock  2005  1  24.1  11.7
Illinois  rock island  2010  1  345.0  153.8
Virginia  mecklenburg  1995  1  51.9  27.9
Wisconsin  milwaukee  1995  3  3892.1  1656.3
Wisconsin  richland  2000  1  30.6  13.9
New York  oswego  2002  1  128.3  56.3
Nebraska  fillmore  2006  1  10.2  5.1
Illinois  kankakee  1997  1  153.4  60.0
Iowa  harrison  2004  1  21.4  9.7
Wyoming  laramie  2003  1  34.2  15.1
Minnesota  fillmore  2002  1  24.2  11.3
New Jersey  middlesex  1998  1  2422.1  883.5
Kentucky  henderson  2006  1  105.9  46.5
Colorado  jefferson  2009  6  699.5  300.9
Colorado  el paso  1995  6  243.1  95.2
Washington  snohomish  1998  22  290.1  113.1
Virginia  craig  2006  1  15.7  8.5
Oregon  clatsop  1995  1  43.1  23.8
Florida  flagler  2003  2  197.1  100.1
Illinois  stephenson  1997  2  86.8  38.5
Nevada  clark  1994  2  173.9  70.8
Florida  clay  2001  1  315.8  124.9
Virginia  chesterfield  1999  1  610.5  229.5
Wisconsin  outagamie  2008  3  277.2  114.7
Tennessee  rutherford  2003  2  424.0  166.2
Illinois  jackson  2000  1  101.4  45.6
California  lake  2009  1  51.5  28.2
Indiana  elkhart  2001  1  426.5  167.9
Puerto Rico  lajas  1999  1  436.9  182.1
West Virginia  raleigh  2006  1  130.3  59.4
Oregon  crook  2000  2  6.4  2.8
Georgia  marion  2008  1  23.9  11.4
New Jersey  morris  1995  3  1002.6  371.8
Missouri  camden  2002  1  67.1  62.8
Minnesota  pine  2004  1  21.1  12.2
New Jersey  ocean  2002  3  917.0  442.2
Georgia  glascock  2008  1  21.4  10.6
Arkansas  poinsett  2008  1  32.4  14.4
North Carolina  polk  2004  1  86.3  48.1
Indiana  allen  2005  5  540.6  231.5
Wisconsin  clark  2004  2  28.7  12.5
Maryland  cecil  2009  1  292.0  118.7
Georgia  houston  1997  1  294.0  118.1
Vermont  essex  2007  1  9.5  7.6
Minnesota  dakota  2007  5  709.0  283.9
Virginia  prince edward  2009  1  66.8  26.1
Oregon  deschutes  1998  2  38.2  18.1
Mississippi  harrison  2008  4  326.0  148.4
Ohio  franklin  1997  1  1980.1  872.5
California  napa  1994  1  164.9  64.4
Ohio  clark  1998  1  362.0  152.7
Virginia  stafford  1997  1  341.9  116.2
Minnesota  cass  2003  3  14.1  12.3
Missouri  wayne  2010  1  17.8  10.6
Indiana  lake  2003  7  994.1  418.4
Tennessee  henry  2003  1  57.5  30.3
South Dakota  hughes  1998  1  22.2  9.5
North Carolina  franklin  2008  2  123.3  54.1
Ohio  lorain  2000  2  578.0  226.1
New Mexico  san juan  2001  1  23.6  8.9
Texas  kinney  2004  1  2.6  1.4
California  santa clara  1991  1  1303.6  448.9
Wisconsin  kewaunee  2000  1  58.9  24.0
California  san diego  2001  31  735.8  276.9
California  sacramento  1995  9  1267.0  491.7
Kentucky  warren  2005  1  210.1  87.2
Massachusetts  suffolk  2002  8  12415.6  5425.6
Wisconsin  racine  2003  2  587.7  247.1
Arkansas  faulkner  1998  1  132.9  53.4
Connecticut  new haven  2009  10  1426.7  598.8
Pennsylvania  northumberland  2010  2  206.2  98.4
New York  cayuga  2009  1  115.7  52.8
North Carolina  person  2004  1  100.6  46.4
Indiana  boone  2008  1  133.9  53.8
Idaho  cassia  2010  1  8.9  3.3
Texas  taylor  1997  1  138.2  56.9
New Jersey  cumberland  2006  1  324.4  115.4
Ohio  erie  2008  2  306.4  150.4
Texas  nacogdoches  2000  1  62.5  26.5
Tennessee  sevier  2005  1  151.7  94.4
Texas  hays  2002  14  231.7  87.6
Tennessee  hamilton  2010  4  620.3  278.6
Washington  grant  1996  2  27.9  10.8
Oregon  lincoln  1995  3  45.4  27.4
Virginia  henrico  2006  1  1313.4  568.2
Kansas  crawford  2004  1  66.4  30.2
Ohio  mahoning  1999  4  620.2  269.1
California  san luis obispo  2003  5  81.7  35.6
Oklahoma  cotton  2008  1  9.8  4.8
Arizona  coconino  2006  6  7.2  3.4
Vermont  windham  2005  2  56.7  37.9
Texas  fort bend  2003  21  679.5  228.7
Minnesota  washington  1995  1  513.5  188.0
Alabama  cullman  2006  2  109.4  50.4
Missouri  franklin  2004  2  110.0  47.1
Utah  cache  2003  1  96.7  31.8
Kansas  douglas  2007  2  243.1  102.5
Virginia  prince william  2008  7  1195.0  407.6
New York  essex  2002  1  21.9  14.3
Florida  walton  2006  1  53.0  43.5
Kentucky  mercer  2007  1  85.7  40.0
Tennessee  marion  2007  1  56.7  26.0
California  san bernardino  2003  26  101.5  34.9
New Jersey  salem  2008  2  199.1  82.6
Alabama  tuscaloosa  2004  1  147.3  64.2
Indiana  howard  2009  1  282.4  132.0
Pennsylvania  berks  1999  2  435.0  174.9
Alabama  covington  2007  1  36.6  18.3
Virginia  louisa  2009  1  66.8  32.9
Pennsylvania  union  2007  2  142.2  53.8
Colorado  alamosa  2000  1  20.7  8.4
Oklahoma  jefferson  2008  1  8.5  4.5
Tennessee  union  2006  1  85.5  40.1
California  kern  1994  3  81.3  28.4
West Virginia  hampshire  2007  2  37.4  21.4
Michigan  muskegon  1997  1  334.3  134.7
Maine  knox  2001  3  108.8  65.0
Georgia  stewart  1996  1  11.4  5.1
Arkansas  union  2001  1  40.1  18.9
North Carolina  forsyth  1998  2  747.2  324.9
Texas  jefferson  2005  1  287.9  119.2
Texas  cameron  1999  2  370.1  132.1
Tennessee  williamson  2008  4  314.4  117.6
New York  dutchess  2006  3  373.9  149.1
Wyoming  laramie  2010  4  34.2  15.1
Ohio  ashland  1999  2  123.8  49.1
Minnesota  douglas  2008  1  56.5  31.2
Oklahoma  creek  1999  5  70.5  29.3
West Virginia  monroe  1992  1  30.8  15.4
Wisconsin  grant  2007  1  44.7  18.8
Wisconsin  eau claire  2003  1  154.8  66.1
Texas  collin  2003  18  930.0  357.8
Arkansas  garland  2004  1  141.7  74.6
Wisconsin  jackson  2003  1  20.7  9.8
New Jersey  middlesex  2001  19  2621.6  954.3
Colorado  jefferson  2000  2  682.6  275.2
South Carolina  fairfield  2003  1  34.9  17.0
West Virginia  wood  2009  1  237.4  109.8
Ohio  knox  2005  1  115.9  47.8
Colorado  el paso  2002  5  292.6  118.9
Pennsylvania  clarion  2009  1  66.6  33.2
Colorado  adams  2002  2  378.2  139.7
Missouri  callaway  2007  2  53.1  22.2
Washington  pend oreille  2001  1  9.3  5.7
Pennsylvania  york  2002  8  481.1  197.6
Florida  clay  2008  1  315.8  124.9
Illinois  fulton  2007  1  42.8  18.7
Arkansas  craighead  2009  1  136.4  57.3
New York  yates  1996  1  72.8  35.7
Wisconsin  adams  2009  1  32.3  27.0
West Virginia  logan  2002  1  81.0  36.9
Florida  brevard  2004  15  535.0  265.7
West Virginia  raleigh  1999  1  130.5  58.8
Minnesota  ramsey  2005  4  3341.6  1426.9
Texas  chambers  2003  2  58.8  22.3
Kentucky  taylor  2009  1  92.0  40.8
Minnesota  mille lacs  2009  1  45.6  22.3
Georgia  douglas  2007  2  661.8  258.3
North Carolina  wayne  2004  1  221.7  95.7
New Jersey  ocean  2009  5  917.0  442.2
Texas  comal  1997  2  139.0  58.3
Delaware  sussex  2005  2  210.6  131.4
Hawaii  honolulu  2005  7  1586.7  560.8
Washington  kittitas  1998  3  14.5  7.2
Wisconsin  walworth  1999  1  168.8  78.8
Missouri  webster  2006  1  61.1  24.3
